book_title,book_author,book_translator,book_pub_date,book_isbn
"IT CookBook, C# 프로그래밍 2판",윤인성 ,,2021-01-05,9791156645238
맛있는 디자인 프리미어 프로 CS6 & CC,"윤성우 , 김덕영 ",,2015-09-11,9788968482090
맛있는 디자인 일러스트레이터 CS6,우보명 ,,2012-12-12,9788979149890
혼자 공부하는 자바스크립트,윤인성 ,,2021-01-04,9791162243671
10년차 디자이너에게 1:1로 배우는 일러스트레이터 디자인 강의,장보경(앤하우스) ,,2014-01-08,9788968480768
"IT CookBook, 핵심이 보이는 제어공학",김성중 ,,2014-02-19,9788998756826
"IT CookBook, 컴퓨터 개론 : 쉽게 배우는 컴퓨터 기본 원리","김종훈 , 김종진 ",,2013-03-12,9788998756055
일러스트레이터 실무 강의,장보경 ,,2020-12-31,9791162243787
회사에서 바로 통하는 일러스트레이터 CS5,박혜진(삐딱대가리) ,,2011-04-28,9788979148244
기초 미분적분학 : Pre Calculus,함남우 ,,2014-01-28,9788998756819
공학 핵심수학(2판)  : 기초부터 심화까지 핵심만 쏙쏙,함남우 ,,2020-07-06,9791156644996
기초 미분적분학(개정판) : Pre Calculus,함남우 ,,2017-07-07,9791156643210
공학 핵심수학 : Core Mathematics for Engineering,함남우 ,,2015-01-01,9791156641438
맛있는 디자인 드림위버 CS6,임화연 ,,2012-10-18,9788979149654
혼자 공부하는 파이썬,윤인성 ,,2019-06-10,9791162241882
맛있는 디자인 포토샵 CS6,"임화연 , 이세련 , 이해령 ",,2013-02-28,9788968480010
맛있는 디자인 포토샵&인디자인 CC 2018,"박효근 , 윤이사라(포완카) , 황지완 ",,2018-08-03,9791162240915
"IT CookBook, enjoy design 일러스트레이터 CS6","김경진 , 김부치 ",,2014-01-03,9788998756727
맛있는 디자인 포토샵 & 드림위버 CC,"임화연 , 이해령 ",,2016-08-10,9788968484964
맛있는 디자인 일러스트레이터 CC,빨간고래(박정아) ,,2014-10-16,9788968481284
쇼핑몰 디자인 제작 북,"임화연 , 이해령 ",,2017-12-05,9791162240311
일러스트레이터 트레이닝 북: Illustrator Training Book,박혜진 삐딱대가리 ,,2009-01-28,9788979146240
이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비,이재원 ,,2014-10-10,9791156641315
편집 디자인 강의 with 인디자인(10년차 디자이너에게 1:1로 배우는) (개정판),황지완 ,,2019-10-07,9791162242216
"IT CookBook, 프로그래밍 언어론 : 쉽게 배우는 언어의 원리와 구조","김종훈 , 김종진 ",,2013-07-02,9788998756437
